scenario,year,group,n_children_weighted,median_nominal_sub,mean_nominal_sub,median_real2026_sub,mean_real2026_sub,median_nominal_subcdctc,mean_nominal_subcdctc,median_real2026_subcdctc,mean_real2026_subcdctc
baseline,2026,Paid Home-Based,857914.0,9031.0,10781.0,9031.0,10781.0,8431.0,10295.0,8431.0,10295.0
baseline,2027,all_paid_formal,3528211.0,8911.0,10752.0,8689.0,10485.0,8401.0,10321.0,8192.0,10065.0
baseline,2027,Low-Priced Center-Based,1532924.0,7477.0,6781.0,7292.0,6613.0,6903.0,6413.0,6732.0,6254.0
baseline,2027,High-Priced Center-Based,1136392.0,15315.0,15787.0,14934.0,15395.0,14670.0,15301.0,14306.0,14921.0
baseline,2027,Paid Home-Based,858896.0,9308.0,11179.0,9077.0,10901.0,8717.0,10708.0,8500.0,10442.0
baseline,2028,all_paid_formal,3492930.0,9104.0,11057.0,8673.0,10534.0,8663.0,10640.0,8252.0,10137.0
baseline,2028,Low-Priced Center-Based,1518851.0,7534.0,6973.0,7177.0,6643.0,7063.0,6619.0,6729.0,6306.0
baseline,2028,High-Priced Center-Based,1119626.0,15723.0,16315.0,14979.0,15543.0,15187.0,15838.0,14468.0,15088.0
baseline,2028,Paid Home-Based,854453.0,9564.0,11426.0,9111.0,10885.0,8964.0,10977.0,8540.0,10458.0
baseline,2029,all_paid_formal,3463838.0,9368.0,11302.0,8725.0,10526.0,8904.0,10884.0,8293.0,10137.0
baseline,2029,Low-Priced Center-Based,1495373.0,7753.0,7145.0,7221.0,6654.0,7288.0,6788.0,6788.0,6322.0
baseline,2029,High-Priced Center-Based,1121659.0,15910.0,16415.0,14818.0,15289.0,15248.0,15940.0,14201.0,14846.0
baseline,2029,Paid Home-Based,846806.0,9817.0,11870.0,9143.0,11055.0,9225.0,11422.0,8592.0,10638.0
baseline,2030,all_paid_formal,3377090.0,9573.0,11687.0,8719.0,10644.0,9136.0,11282.0,8320.0,10275.0
baseline,2030,Low-Priced Center-Based,1468631.0,7974.0,7347.0,7262.0,6691.0,7598.0,7000.0,6920.0,6375.0
baseline,2030,High-Priced Center-Based,1078848.0,16795.0,17405.0,15296.0,15852.0,16240.0,16933.0,14790.0,15422.0
baseline,2030,Paid Home-Based,829612.0,9915.0,11935.0,9030.0,10870.0,9472.0,11511.0,8626.0,10484.0
baseline,2031,all_paid_formal,3410893.0,9969.0,12064.0,8879.0,10745.0,9451.0,11669.0,8417.0,10393.0
baseline,2031,Low-Priced Center-Based,1462701.0,8051.0,7567.0,7171.0,6739.0,7701.0,7231.0,6859.0,6440.0
baseline,2031,High-Priced Center-Based,1113044.0,16961.0,17538.0,15105.0,15620.0,16229.0,17081.0,14454.0,15213.0
baseline,2031,Paid Home-Based,835148.0,10337.0,12646.0,9207.0,11263.0,9752.0,12229.0,8685.0,10891.0
baseline,2032,all_paid_formal,3358240.0,10232.0,12281.0,8911.0,10696.0,9798.0,11896.0,8534.0,10361.0
baseline,2032,Low-Priced Center-Based,1436970.0,8444.0,7824.0,7354.0,6814.0,8195.0,7503.0,7138.0,6534.0
baseline,2032,High-Priced Center-Based,1098656.0,17516.0,17897.0,15256.0,15587.0,17064.0,17440.0,14862.0,15189.0
baseline,2032,Paid Home-Based,822615.0,10608.0,12567.0,9239.0,10945.0,10008.0,12165.0,8717.0,10596.0
baseline,2033,all_paid_formal,3339603.0,10494.0,12573.0,8938.0,10709.0,10010.0,12190.0,8526.0,10383.0
baseline,2033,Low-Priced Center-Based,1456596.0,8526.0,8022.0,7262.0,6833.0,8242.0,7701.0,7020.0,6559.0
baseline,2033,High-Priced Center-Based,1071032.0,17841.0,18360.0,15196.0,15638.0,17133.0,17902.0,14593.0,15248.0
baseline,2033,Paid Home-Based,811974.0,10888.0,13104.0,9274.0,11161.0,10298.0,12709.0,8771.0,10825.0
baseline,2034,all_paid_formal,3300311.0,10766.0,12804.0,8968.0,10665.0,10355.0,12433.0,8625.0,10356.0
baseline,2034,Low-Priced Center-Based,1419833.0,8947.0,8282.0,7453.0,6898.0,8599.0,7973.0,7162.0,6641.0
baseline,2034,High-Priced Center-Based,1067752.0,17708.0,18360.0,14750.0,15293.0,17385.0,17916.0,14481.0,14923.0
baseline,2034,Paid Home-Based,812726.0,11178.0,13405.0,9311.0,11165.0,10588.0,13021.0,8820.0,10846.0
baseline,2035,all_paid_formal,3280953.0,11050.0,13168.0,9001.0,10726.0,10642.0,12800.0,8668.0,10426.0
baseline,2035,Low-Priced Center-Based,1424139.0,8648.0,8431.0,7044.0,6868.0,8640.0,8129.0,7038.0,6622.0
baseline,2035,High-Priced Center-Based,1074500.0,18592.0,19038.0,15144.0,15508.0,18151.0,18595.0,14785.0,15147.0
baseline,2035,Paid Home-Based,782313.0,11479.0,13727.0,9350.0,11182.0,10889.0,13343.0,8870.0,10868.0
baseline,2036,all_paid_formal,3224891.0,11383.0,13545.0,9068.0,10789.0,11088.0,13182.0,8832.0,10501.0
baseline,2036,Low-Priced Center-Based,1402348.0,9493.0,8768.0,7562.0,6984.0,9242.0,8467.0,7362.0,6745.0
baseline,2036,High-Priced Center-Based,1042404.0,19274.0,19721.0,15353.0,15709.0,18648.0,19278.0,14855.0,15356.0
baseline,2036,Paid Home-Based,780140.0,11789.0,13879.0,9391.0,11055.0,11199.0,13514.0,8921.0,10765.0
baseline,2037,all_paid_formal,3209132.0,11501.0,13836.0,8959.0,10778.0,11199.0,13480.0,8724.0,10501.0
baseline,2037,Low-Priced Center-Based,1400133.0,9179.0,8943.0,7150.0,6967.0,9179.0,8650.0,7150.0,6738.0
baseline,2037,High-Priced Center-Based,1040572.0,19792.0,20097.0,15417.0,15655.0,19138.0,19663.0,14908.0,15317.0
baseline,2037,Paid Home-Based,768427.0,12116.0,14271.0,9438.0,11117.0,11516.0,13909.0,8971.0,10835.0
baseline,2038,all_paid_formal,3218327.0,11954.0,14278.0,9106.0,10877.0,11596.0,13927.0,8834.0,10609.0
baseline,2038,Low-Priced Center-Based,1402583.0,9828.0,9238.0,7487.0,7038.0,9672.0,8948.0,7368.0,6816.0
baseline,2038,High-Priced Center-Based,1039458.0,20105.0,20708.0,15315.0,15775.0,19662.0,20271.0,14978.0,15442.0
baseline,2038,Paid Home-Based,776285.0,12450.0,14774.0,9484.0,11255.0,11850.0,14428.0,9027.0,10991.0
baseline,2039,all_paid_formal,3173176.0,12340.0,14633.0,9192.0,10901.0,12071.0,14289.0,8992.0,10644.0
baseline,2039,Low-Priced Center-Based,1362976.0,10412.0,9623.0,7756.0,7169.0,10105.0,9339.0,7527.0,6957.0
baseline,2039,High-Priced Center-Based,1025463.0,20645.0,21174.0,15380.0,15774.0,20191.0,20743.0,15041.0,15452.0
baseline,2039,Paid Home-Based,784737.0,12412.0,14786.0,9247.0,11015.0,12195.0,14452.0,9085.0,10766.0
baseline,2040,all_paid_formal,3143210.0,12725.0,15052.0,9270.0,10965.0,12512.0,14714.0,9115.0,10719.0
baseline,2040,Low-Priced Center-Based,1347412.0,10068.0,9800.0,7335.0,7139.0,10039.0,9522.0,7313.0,6937.0
baseline,2040,High-Priced Center-Based,1009378.0,21432.0,21794.0,15613.0,15877.0,20987.0,21373.0,15289.0,15570.0
baseline,2040,Paid Home-Based,786420.0,13152.0,15395.0,9581.0,11215.0,12552.0,15063.0,9144.0,10973.0
baseline,2041,all_paid_formal,3173471.0,12884.0,15278.0,9179.0,10884.0,12596.0,14949.0,8974.0,10649.0
baseline,2041,Low-Priced Center-Based,1380267.0,10306.0,9982.0,7342.0,7111.0,10174.0,9717.0,7248.0,6922.0
baseline,2041,High-Priced Center-Based,1028459.0,21630.0,22057.0,15409.0,15713.0,21157.0,21633.0,15072.0,15411.0
