"year","epop_m_16plus","epop_m_16_17","epop_m_18_19","epop_m_20_24","epop_m_25_29","epop_m_30_34","epop_m_35_39","epop_m_40_44","epop_m_45_49","epop_m_50_54","epop_m_55_59","epop_m_60_64","epop_m_65plus","epop_f_16plus","epop_f_16_17","epop_f_18_19","epop_f_20_24","epop_f_25_29","epop_f_30_34","epop_f_35_39","epop_f_40_44","epop_f_45_49","epop_f_50_54","epop_f_55_59","epop_f_60_64","epop_f_65plus"
2066,62.1138071840258,17.1234028726664,51.6102449327977,66.0613612296761,82.6231793717851,87.6828532511348,89.0048733629804,88.4893654475832,88.1362580644773,87.0273469546671,81.5909363703682,,,54.1481013093281,23.7515110659696,46.3894321546142,63.775565820168,76.4972515560448,77.3188026210978,77.8873877395775,79.6694981213916,80.9445809111812,80.5889326867209,73.8609413859477,,
2067,61.9715742117899,17.1234028726664,51.6110935063743,66.068659517136,82.6250765527445,87.6857344279248,89.0116374589269,88.4990494343028,88.1488637805923,87.044769653171,81.6450975637721,,,54.0447652381271,23.7515110659696,46.3903113417902,63.7820893166864,76.4991539995055,77.3283737935748,77.9056716157179,79.6965106174247,80.9677883314331,80.6276522354209,73.9404430686766,,
2068,61.8255229047288,17.1225754152936,51.6110935063743,66.0732209467985,82.6279223241836,87.6866948201881,89.0184015548735,88.5077650223504,88.1595301557665,87.0554168578122,81.7127990555268,,,53.9376019050298,23.7515110659696,46.3903113417902,63.7876808851307,76.4991539995055,77.3360307315564,77.9210685640467,79.7206289174541,80.9977645825918,80.6557239082284,74.0383658730133,,
2069,61.6766078465489,17.1225754152936,51.6110935063743,66.077782376461,82.629819505143,87.6886156047148,89.0232330519782,88.5155122117261,88.1692268604703,87.0631602793695,81.7795333831137,,,53.8246976790879,23.7515110659696,46.3903113417902,63.792340525501,76.4991539995055,77.3417734350427,77.9355032031049,79.7437824854824,81.030641761282,80.6818596036009,74.1343496119176,,
2070,61.5257836209565,17.1217479579208,51.6102449327977,66.0805192342584,82.6317166861024,87.6895759969782,89.0280645490828,88.5232594011018,88.1798932356445,87.0738074840108,81.8365960690213,,,53.7060525603016,23.7506564183835,46.3894321546142,63.7942043816491,76.5001052212359,77.3456019040335,77.948013223622,79.763077125506,81.0606180124408,80.7108992651259,74.2148208273626,,
2071,61.3768685627766,17.120920500548,51.6102449327977,66.0814315201909,82.6345624575414,87.6914967815049,89.0319297467666,88.5300381918055,88.1905596108187,87.0873584717361,81.8762497999063,,,53.584536995093,23.7506564183835,46.3894321546142,63.7960682377973,76.5001052212359,77.3475161385289,77.9585986255981,79.7814070335284,81.0915612394434,80.7409069153684,74.2662060613215,,
2072,61.2269989208904,17.1192655858024,51.609396359221,66.0823438061234,82.6355110480211,87.6924571737682,89.0348286450294,88.5368169825092,88.1992866450522,87.1038132425453,81.8917244265931,,,53.4639782453585,23.7498017707973,46.3876737802622,63.7960682377973,76.5001052212359,77.3484732557766,77.967259409033,79.7978074775485,81.1196035389144,80.7757545091984,74.282688117497,,
2073,61.0780838627105,17.1184381284297,51.6085477856443,66.0814315201909,82.6374082289805,87.6934175660316,89.0377275432922,88.541658975869,88.2080136792856,87.1222038687439,81.8917244265931,,,53.3472467575203,23.7498017707973,46.3867945930862,63.7951363097232,76.5001052212359,77.3484732557766,77.9739955739268,79.811313725565,81.144744910854,80.8144740578984,74.2797795193484,,
2074,60.9358508904746,17.1176106710569,51.606850638491,66.0796069483259,82.6383568194602,87.6934175660316,89.0386938427131,88.5465009692288,88.2157710430487,87.1396265672478,81.8936587549289,,,53.2314720851562,23.7489471232112,46.3859154059102,63.792340525501,76.5001052212359,77.3484732557766,77.9788071202796,79.8238552415803,81.1689193069498,80.8502896404459,74.2836576502132,,
2075,60.7936179182386,17.1159557563113,51.6060020649143,66.077782376461,82.6393054099399,87.6943779582949,89.0396601421341,88.5513429625886,88.2225587363413,87.1512416995837,81.905264724944,,,53.1176110437403,23.7480924756251,46.3841570315582,63.7895447412788,76.5001052212359,77.3484732557766,77.9816940480912,79.8354320255945,81.1892257996702,80.8793293019709,74.3049873699697,,
2076,60.6552032808278,17.1151282989385,51.6051534913377,66.0750455186635,82.6393054099399,87.6953383505582,89.040626441555,88.5542481586044,88.229346429634,87.1599530488356,81.9284766649742,,,53.0066204487466,23.7480924756251,46.3832778443822,63.7858170289826,76.5001052212359,77.3484732557766,77.9826563573618,79.8441146136051,81.2085653165468,80.9074009747783,74.3437686786179,,
2077,60.5215615619484,17.1143008415657,51.604304917761,66.0713963749335,82.6393054099399,87.6953383505582,89.040626441555,88.5571533546203,88.2351644524563,87.1696323257823,81.9623274108516,,,52.8994571156493,23.747237828039,46.3815194700302,63.7820893166864,76.5001052212359,77.3484732557766,77.9836186666323,79.8518324696145,81.2259708817357,80.9354726475858,74.3970929780092,,
